Institution,AcademicYear,Buildings,FloorArea_m2,Energy_kWh,Water_m3,CarSpaces,CycleSpaces,RenewablesPct,Scope12_tCO2e
Aberystwyth University,2015/16,152,210351.0,43066612,205811,2525,342,0.2,12697.5
Aberystwyth University,2016/17,152,219625,40529384,159903,2525,342,0.5,10801.0
Aberystwyth University,2017/18,152,219625,44262254.2,188898,2930,342,0.4,10103.0
Aberystwyth University,2018/19,688,263320.9,44414640,254265,2930,362,0.4,9823.7
Aberystwyth University,2019/20,688,260123.4,39779682.3,223912,2329,362,0.4,8322.0
Aberystwyth University,2020/21,688,260123.4,42021875,194583,2529,362,0.4,8336.3
Aberystwyth University,2021/22,688,260123.4,42374991.0,257117.6,2354,362,0.4,8135.3
Aberystwyth University,2022/23,688,260123.4,37876982.0,279141,2408,362,100,7298.3
Aberystwyth University,2023/24,688,260123.4,35699042,364580.0,2408,362,100,6688.3
Aberystwyth University,2024/25,688,260123.4,34145133,255027,2408,362,100,6019.5
Bangor University,2015/16,168,214005,38550858,153403,1951,685,0,11190.1
Bangor University,2016/17,168,217655,36993083.3,156762.6,1951,685,0,9686.6
Bangor University,2017/18,171,222679,35409226.9,141169.0,1951,685,0,8202.2
Bangor University,2018/19,172,230234.8,34206745.5,152108.5,1814,685,,7589.8
Bangor University,2019/20,168,234102.2,33056205.6,118212,1819,685,42.5,6886.0
Bangor University,2020/21,168,234102.2,33973409.4,83718.5,1819,685,38.1,6707.3
Bangor University,2021/22,168,234102.2,34776598.8,120034.6,1819,685,27,6602.2
Bangor University,2022/23,168,234102.2,32600032.5,129867.3,1819,685,0,6401.4
Bangor University,2023/24,168,234102.2,31863352.0,110999.7,1819,685,0,6243.3
Bangor University,2024/25,171,237324.2,29910378.7,115696.2,1819,685,0,5459.7
Cardiff Metropolitan University,2015/16,50,93408,15909605,62287,1605,530,0,4463.3
Cardiff Metropolitan University,2016/17,51,95648,16352882,66361,1605,530,0,4139.6
Cardiff Metropolitan University,2017/18,52,95694,17416309,67233,1605,530,39.2,3894.6
Cardiff Metropolitan University,2018/19,53,97041,15952682,65394,1605,530,41.3,3419.6
Cardiff Metropolitan University,2019/20,53,97041,13979894,63611,1640,530,40.1,2847.9
Cardiff Metropolitan University,2020/21,53,97041,12671270,46474,1640,530,38.7,2457.4
Cardiff Metropolitan University,2021/22,53,97041,14814158,73687,1640,530,54,2758.2
Cardiff Metropolitan University,2022/23,53,97041,15980647,81235,1640,530,37.6,3063.3
Cardiff Metropolitan University,2023/24,53,97041,14474222,86582,1640,530,50.7,2793.8
Cardiff Metropolitan University,2024/25,53,97041,12465219,76613,1640,530,30.4,2244.3
Cardiff University,2015/16,288,451363,102125646.0,366089,1843,3151,100,29662.9
Cardiff University,2016/17,291,452325,113464935.0,366438,1953,3305,100,29372.9
Cardiff University,2017/18,293,457642,118715071.9,323210,1990,3554,100,26963.4
Cardiff University,2018/19,290,462583,116383275.9,367477.5,2078,3554,100,24705.5
Cardiff University,2019/20,288,492229,113871037.6,380883.2,1970,3554,100,23230.3
Cardiff University,2020/21,288,489094,118410011.8,324115.4,1732,3554,100,23037.0
Cardiff University,2021/22,301,545578,129597910.8,307887.7,1873,4090,100,24230.9
Cardiff University,2022/23,301,545578,123162392.9,323723,1873,4090,100,23843.4
Cardiff University,2023/24,298,542938,122026236.0,240133,1873,4090,100,23595.2
Cardiff University,2024/25,256,532968,118339564.7,341751.9,2063,4090,100,21336.4
Imperial College London,2015/16,118,520148,259269125,819500,893,2224,0,75745.7
Imperial College London,2016/17,105,531156,235777468,673872,893,2224,0,75787.1
Imperial College London,2017/18,113,534196,248142427,625438,1276,2610,0,58539.0
Imperial College London,2018/19,123,558847,209932547.3,676100,1408,2713,0,55268.5
Imperial College London,2019/20,117,570967,208643944,760939.0,1408,2713,100,55590.5
Imperial College London,2020/21,105,592605,223678630.4,451599,735,3143,100,57972.2
Imperial College London,2021/22,115,588084,238054054,402125.2,735,3143,100,55259.2
Imperial College London,2022/23,119,591541,228663780.0,377532,735,3143,100,50941.5
Imperial College London,2023/24,114,596683,217875091,363545.7,402,3045,100,42411.4
Imperial College London,2024/25,114,582134,212273953,360014.0,402,3141,100,45669.7
King's College London,2015/16,88,420639.9,127972473,329409,,667,0,39012.8
King's College London,2016/17,91,444578.3,132939408.3,338627.3,,1000,0,36532.0
King's College London,2017/18,89,449526.8,139646881,407367,151,989,54,32663.7
King's College London,2018/19,92,452105.5,138724947.7,332289.5,151,1208,61,30616.9
King's College London,2019/20,88,434646.7,116982533.3,646705,151,1171,58,24506.5
King's College London,2020/21,80,436349.3,131536236,340453,79,1179,59,25908.8
King's College London,2021/22,78,430955.4,130692081.8,305992,79,1157,45,24559.2
King's College London,2022/23,78,443606.8,135747156.2,378408,154,1247,9,26616.2
King's College London,2023/24,79,445351.5,131839075.8,409234,154,1248,8,25968.5
King's College London,2024/25,80,446184.7,129984987.5,326205,154,1279,13,23485.6
London School of Economics and Political Science,2015/16,43,187079.6,36536115,211535,56,484,94.6,10948.6
London School of Economics and Political Science,2016/17,43,186934.6,36226210,216110,56,476,98.4,9700.2
London School of Economics and Political Science,2017/18,43,186966,37998072,196997,56,492,98.4,8718.5
London School of Economics and Political Science,2018/19,44,203005.9,37244400,199335,56,538,100,8089.5
London School of Economics and Political Science,2019/20,44,201884.1,34105771,153957,56,667,99.9,7003.6
London School of Economics and Political Science,2020/21,41,196783.5,37696715,143511,60,715,99.8,7320.3
London School of Economics and Political Science,2021/22,42,214376.2,42136548,177184,60,999,99.1,7877.2
London School of Economics and Political Science,2022/23,42,213208.7,38263359,178154,58,1007,99.5,7422.1
London School of Economics and Political Science,2023/24,43,213339.2,36525993,197587,58,993,100,7098.7
London School of Economics and Political Science,2024/25,44,225262.8,36144642,187359.7,58,993,100,6486.0
Newcastle University,2015/16,263,429723.8,123451073.0,400526.0,881,2056,0,35427.6
Newcastle University,2016/17,252,426280.5,119570237,335297,676,2073,0,31600.2
Newcastle University,2017/18,239,454819.0,115734123,331254,728,2040,76.1,26665.1
Newcastle University,2018/19,244,486754.7,124112915.1,311883,830,2029,70.6,26774.6
Newcastle University,2019/20,236,497529.2,111593502.0,290524.5,1124,2150,36,22808.3
Newcastle University,2020/21,230,501720.5,110328300.2,226976,903,2103,38.7,21572.1
Newcastle University,2021/22,230,490051.8,116524430.0,286268,935,2103,33.8,21858.6
Newcastle University,2022/23,220,487550.3,110082796.5,294287.1,997,1997,42.3,21546.1
Newcastle University,2023/24,209,496852.7,108700150.9,308836,989,2466,41.2,21166.0
Newcastle University,2024/25,179,462027.3,96275737.3,245146,859,2295,14.9,17301.7
Queen Mary University of London,2015/16,77,228749,73828832.6,254679,218,1018,0,22325.0
Queen Mary University of London,2016/17,85,238010,69051422,167001.5,255,910,0,18722.0
Queen Mary University of London,2017/18,85,238677.9,70590032,254679,220,895,0,16810.1
Queen Mary University of London,2018/19,88,256775.6,67938033,339247,220,1043,,15203.3
Queen Mary University of London,2019/20,89,257147.0,66771592,340846,220,963,,13925.3
Queen Mary University of London,2020/21,91,265324.8,66194988,208033,220,963,,13124.2
Queen Mary University of London,2021/22,91,264929.6,60787821,468493.0,235,1013,,11549.5
Queen Mary University of London,2022/23,92,265448.3,60401992.6,238826.2,235,1013,,11840.8
Queen Mary University of London,2023/24,92,267829.2,61999974.5,366249.3,226,881,,12182.8
Queen Mary University of London,2024/25,93,270239.6,60709055.7,257692.8,226,881,,10903.9
Queen's University Belfast,2015/16,230,329237,97593065,299439,1402,990,,24752.3
Queen's University Belfast,2016/17,232,345312,90972806,257734,1376,1006,,22950.1
Queen's University Belfast,2017/18,234,345795,95226950,263623,1270,1074,,21882.8
Queen's University Belfast,2018/19,237,397670,96491304,315655,1290,1426,,22419.8
Queen's University Belfast,2019/20,237,397670,113497540,188651,1290,1426,,21061.8
Queen's University Belfast,2020/21,237,397670,105292168,600977,1290,1426,,22501.8
Queen's University Belfast,2021/22,237,397670,99621645,334090,1290,1530,,21117.0
Queen's University Belfast,2022/23,268,425595,96842418,228326,1290,1554,100,20154.8
Queen's University Belfast,2023/24,268,426394,94813729,171939,1282,1594,100,20773.8
Queen's University Belfast,2024/25,268,425167,92955630.5,163967.7,1282,1594,100,18441.3
Swansea University,2015/16,152,250355.4,60269433,279613,1725,980,65,17602.5
Swansea University,2016/17,142,247121.5,65988288,284461,1700,980,100,18270.2
Swansea University,2017/18,137,251679,69432490,289002,1640,1020,100,16151.8
Swansea University,2018/19,150,266798.7,70647391,249106,1630,1020,100,15170.1
Swansea University,2019/20,103,264266.8,62804613,239816,1630,1020,100,12866.4
Swansea University,2020/21,104,256013.7,66517711,199076,1630,1020,100,13246.9
Swansea University,2021/22,101,255212.2,62832326,221705,1630,1020,67,11685.1
Swansea University,2022/23,101,261217.5,63195485,251720,1776,1020,0,12142.1
Swansea University,2023/24,85,248334.6,56345527.1,347572.6,1776,1030,0,10763.1
Swansea University,2024/25,83,245733.8,54181867.1,193985,1776,1030,0.5,9516.8
University College London,2015/16,223,561241,222626370.8,510170,,742,0,66780.5
University College London,2016/17,216,561128,228906545.2,518375.8,,1584,0,62065.4
University College London,2017/18,249,627839.5,242937730.1,542383.6,,1694,0,58098.9
University College London,2018/19,253,645451.8,241572061.7,573408.5,,1694,0,54580.6
University College London,2019/20,252,669493.7,229483264.1,697451,,1694,39.5,49821.6
University College London,2020/21,244,671939.4,230626691.2,662114.9,,1854,39.7,47943.3
University College London,2021/22,244,677158.8,234193323.9,345245,,2457,44.3,45673.5
University College London,2022/23,240,694356.1,242863937.5,336244,,2457,47.6,48081.1
University College London,2023/24,249,713426.1,244959378.4,421892,,2457,48.3,49176.1
University College London,2024/25,237,738433.4,240851755.0,517044.7,,2457,49.3,44199.9
University of Birmingham,2015/16,194,531782.8,188255783,546734,3591,,0,46941.6
University of Birmingham,2016/17,192,538052.1,183605142,514775,3591,1446,0,45901.4
University of Birmingham,2017/18,199,542830.2,196537338,452841,3591,1500,0,48165.4
University of Birmingham,2021/22,295,550271.5,201996694,406232,3563,1805,100,42967.8
University of Birmingham,2022/23,287,569829.5,181925928,579891,3770,1805,0,40149.8
University of Birmingham,2023/24,281,662672.9,201605039,530924,3824,1805,0,43562.4
University of Birmingham,2024/25,244,598027,198634238,633314,3577,2642,0,40272.6
University of Bristol,2015/16,322,519042.5,146299317.4,378218,1738,3152,0,44402.7
University of Bristol,2016/17,327,522616.1,147845436,354088,1705,3316,29,39484.3
University of Bristol,2017/18,338,532986.9,145646765,387771,1826,3487,96.1,34367.4
University of Bristol,2018/19,338,534626.6,143786698,374342,1932,3443,99.5,32125.4
University of Bristol,2019/20,337,525594.2,134637393,283489,1835,3525,100,28477.8
University of Bristol,2020/21,329,532324.0,146924413,350011,1913,2734,44.7,29455.1
University of Bristol,2021/22,314,531502.8,135204996,336060,1962,3966,34,25674.6
University of Bristol,2022/23,313,540044.5,128578986.6,412455.1,1973,4008,9.6,25200.7
University of Bristol,2023/24,314,540462.6,113076306.4,370294.4,1982,4108,10.4,22153.2
University of Bristol,2024/25,315,536729.9,120745667.4,415608.1,1967,4108,13.6,21669.9
University of Cambridge,2015/16,344,644272.2,221326292.6,338656.4,3700,9000,9,68270.4
University of Cambridge,2016/17,345,660256.1,230727155,332580,3580,9000,8.8,65393.0
University of Cambridge,2017/18,369,685259.2,275334595,466002,3500,11000,11.7,65322.6
University of Cambridge,2018/19,372,723229.6,255974754,461578,3560,11120,0,57556.8
