response_id,date,time_slot,item,rating,spend,comment
R001,2026-03-12,Lunch,Plain,2,2.5,Queue moves so slowly at 12. One person cannot do it all.
R002,2026-01-30,Afternoon,Plain,3,2.5,The box of six is the only sensible way to buy these.
R003,2026-04-06,Morning,Vanilla,4,2.5,Asked about allergens and got a shrug. Not good enough.
R004,2026-03-05,Afternoon,Box of six,2,12.0,If you made twice as many I would still worry.
R005,2026-03-12,Lunch,Plain,2,5.0,"Pricey AND a queue? One or the other, please."
R006,2026-03-16,Lunch,Vanilla,5,2.5,"Reminds me of my nan's, which is the highest possible mark."
R007,2026-02-17,Morning,Plain,3,2.5,Card machine queue is slower than the cake queue.
R008,2026-03-02,Lunch,Vanilla,3,2.5,"25 min at 12:15 today. That is a lecture, not a snack break."
R009,2026-02-16,Lunch,Plain,3,2.5,"Payment took ages, the machine kept timing out."
R010,2026-03-13,Lunch,Plain,2,2.5,"No gluten free left by 11:45, all gone by 1."
R011,2026-03-03,Lunch,Plain,4,2.5,Students get a discount? No? Should we?
R012,2026-02-25,Lunch,Plain,,2.5,"Queue chaos at lunchtime, twice this week I walked away."
R013,2026-01-26,Morning,Gluten-free,4,2.8,Coeliac here. Is the gluten free one done on a separate griddle?
R014,2026-03-04,Lunch,Vanilla,3,5.0,I now budget half an hour for a Welsh cake. Reflect on that.
R015,2026-03-06,Lunch,Vanilla,4,2.5,Opening at 10 misses the 9am crowd entirely.
R016,2026-03-12,Lunch,Plain,3,2.5,Waited 20 minutes to pay more than the union shop charges.
R017,2026-03-11,Lunch,Box of six,2,12.0,Queued 10 minutes to be told the tray was empty.
R018,2026-03-06,Afternoon,Gluten-free,4,2.8,Allergen labels are hard to find on the stall. Please display them.
R019,2026-02-23,Lunch,Vanilla,2,2.5,"Queued 20 minutes at lunch. Cakes great, queue not."
R020,2026-03-05,Lunch,Gluten-free,3,2.8,More dietary options and you have my entire loan.
R021,2026-02-13,Morning,Gluten-free,4,2.8,Dairy free option would be amazing.
R022,2026-02-24,Lunch,Gluten-free,3,2.8,Please list ingredients somewhere visible.
R023,2026-03-03,Afternoon,Vanilla,3,2.5,Costs more than my bus fare home. Still bought three.
R024,2026-03-11,Lunch,Plain,2,2.5,The sell-out is the best marketing and the worst experience.
R025,2026-02-19,Morning,Plain,5,2.5,£2.50 is fair for fresh off the griddle to be honest.
R026,2026-03-11,Lunch,Gluten-free,2,2.8,"One griddle cannot feed a lunchtime campus, bless him."
R027,2026-03-19,Lunch,Gluten-free,3,2.8,Half my lunch break gone standing in line.
R028,2026-02-12,Morning,Box of six,5,12.0,"Lovely staff, lovely cakes, lovely everything."
R029,2026-03-26,Afternoon,Vanilla,3,2.5,"Fair price, fresh and warm. No complaints on cost."
R030,2026-03-10,Lunch,Box of six,3,24.0,"Stood in the rain in a queue. Cardiff, innit. Still worth it. Just."
R031,2026-03-30,Afternoon,Plain,4,2.5,"Move nearer the science buildings, we have money too."
R032,2026-04-07,Afternoon,Gluten-free,3,2.8,Is there a vegan option? Would buy weekly.
R033,2026-02-25,Morning,Vanilla,5,5.0,
R034,2026-03-11,Lunch,Box of six,3,24.0,£3 and I still waited fifteen minutes for a cold one.
R035,2026-03-11,Afternoon,Box of six,5,12.0,"Fine for a treat, too much for every day."
R036,2026-02-11,Lunch,Plain,5,2.5,
R037,2026-04-06,Afternoon,Plain,3,2.5,Had to walk to a cash point and back. The cakes were gone by then.
R038,2026-04-03,Lunch,Plain,4,2.5,"Price is fine, size could be bigger."
R039,2026-02-05,Lunch,Plain,3,2.5,Would it kill you to have a fast lane for plain cakes?
R040,2026-03-04,Afternoon,Vanilla,2,2.5,The vanilla ones are gone by noon without fail.
R041,2026-02-25,Lunch,Plain,3,2.5,The queue at noon is really a lottery for the last dozen.
R042,2026-03-05,Lunch,Plain,3,5.0,"Please get contactless sorted, nobody carries cash."
R043,2026-03-05,Lunch,Plain,2,2.5,Got to the front and the plain ones were gone. Again.
R044,2026-04-07,Lunch,Plain,3,2.5,Cheaper than the coffee shop muffin and twice as nice.
R045,2026-03-18,Morning,Vanilla,4,2.5,
R046,2026-02-25,Lunch,Plain,2,2.5,The queue is a bonding experience I did not ask for.
R047,2026-03-05,Lunch,Gluten-free,3,2.8,The card machine was down again today.
R048,2026-04-10,Lunch,Vanilla,,2.5,The line was halfway to the library. Gave up.
R049,2026-01-28,Lunch,Plain,4,2.5,"Queue too long, went to the union shop instead."
R050,2026-03-19,Lunch,Plain,4,5.0,
R051,2026-03-05,Lunch,Plain,3,2.5,Please do something about the wait. 18 minutes today.
R052,2026-03-23,Afternoon,Plain,5,2.5,
R053,2026-03-04,Lunch,Vanilla,3,2.5,I time my visits for 10am now because lunch is hopeless.
R054,2026-02-02,Lunch,Vanilla,3,2.5,"The pitch is windy, the napkins fly, the vibe suffers."
R055,2026-03-05,Afternoon,Plain,2,2.5,Sold out by 1pm AGAIN.
R056,2026-03-04,Morning,Vanilla,3,2.5,
R057,2026-02-26,Morning,Plain,4,2.5,A sign would help. I walked past it for a month.
R058,2026-02-20,Morning,Plain,5,2.5,The smell alone is worth the walk.
R059,2026-03-12,Lunch,Box of six,3,12.0,The queue is the only bad thing about this stall.
R060,2026-03-04,Lunch,Plain,4,2.5,Wish you opened earlier. My 9am needs this.
R061,2026-02-11,Afternoon,Gluten-free,3,2.8,Nut allergy: nobody could tell me what was safe. Went without.
R062,2026-02-16,Lunch,Vanilla,4,2.5,Waiting time at lunch is silly now the word has spread.
R063,2026-02-26,Morning,Gluten-free,3,2.8,GF cakes lovely but there were only six of them. Six!
R064,2026-03-03,Lunch,Plain,2,2.5,Make more! You sell out every single day!
R065,2026-01-28,Afternoon,Plain,3,2.5,Waited so long my lecture started. Please sort the queue.
R066,2026-03-03,Lunch,Plain,3,2.5,Price fine. Portion fine. I just wanted to leave a comment.
R067,2026-04-07,Lunch,Vanilla,3,320.0,Cash only?! In this economy?
R068,2026-02-24,Lunch,Box of six,3,12.0,
